lead_id,fecha_registro,canal,empresa_id,punto_venta_id,modelo_cotizado,precio_lista,horas_al_primer_contacto,numero_contactos,manifesto_cuota_inicial,forma_pago_declarada,pidio_cita,desenlace
HX-00022,2026-04-28,WhatsApp,EMP-02,PV-008,Bajaj Pulsar NS 160,11290000,8,7,NO,no_informa,SI,Perdido
HX-00023,2026-06-06,Meta Ads,EMP-03,PV-011,Suzuki Gixxer 150,11990000,72,5,NO_INFORMA,credito,NO,Perdido
HX-00024,2026-05-22,WhatsApp,EMP-01,PV-005,Honda Dio 110,6890000,24,7,SI,credito,NO,Perdido
HX-00025,2026-06-01,WhatsApp,EMP-03,PV-013,Bajaj Pulsar NS 125,8990000,2,3,NO,no_informa,NO,Perdido
HX-00026,2026-06-14,WhatsApp,EMP-03,PV-012,AKT Evo RS 150,7190000,2,3,SI,credito,SI,Cerrado
HX-00027,2026-07-19,Formulario Web,EMP-02,PV-010,Suzuki Gixxer 150,11990000,0.5,2,SI,contado,NO,Perdido
HX-00028,2026-04-19,WhatsApp,EMP-02,PV-008,Bajaj Discover 125,6990000,4,3,NO,credito,NO,Perdido
HX-00029,2026-04-14,Meta Ads,EMP-01,PV-004,Honda XRE 300,22900000,120,4,NO,credito,NO,Perdido
HX-00030,2026-05-04,WhatsApp,EMP-01,PV-002,Bajaj Discover 125,6990000,2,6,NO,credito,NO,Perdido
HX-00031,2026-07-09,Meta Ads,EMP-03,PV-013,Bajaj Pulsar NS 160,11290000,4,2,NO_INFORMA,contado,NO,Perdido
HX-00032,2026-06-23,Meta Ads,EMP-03,PV-014,Bajaj Boxer CT 100,5790000,8,2,NO,credito,SI,Perdido
HX-00033,2026-05-06,WhatsApp,EMP-03,PV-014,Bajaj Pulsar RS 200,15490000,2,4,NO_INFORMA,credito,SI,Perdido
HX-00034,2026-06-12,WhatsApp,EMP-02,PV-007,Honda CB 190R,13990000,1,7,NO_INFORMA,credito,NO,Cerrado
HX-00035,2026-03-06,WhatsApp,EMP-01,PV-002,Bajaj Pulsar NS 125,8990000,1,1,SI,credito,NO,Perdido
HX-00036,2026-05-05,Meta Ads,EMP-01,PV-002,Honda Dio 110,6890000,1,6,NO_INFORMA,credito,NO,Perdido
HX-00037,2026-06-27,Formulario Web,EMP-02,PV-008,Honda Navi,7290000,4,4,NO,credito,SI,Perdido
HX-00038,2026-07-15,Formulario Web,EMP-03,PV-013,Bajaj Discover 125,6990000,24,4,NO,credito,NO,Perdido
HX-00039,2026-06-27,Formulario Web,EMP-03,PV-013,Honda CB 125F Twister,7990000,72,1,NO,credito,NO,Perdido
HX-00040,2026-07-04,WhatsApp,EMP-03,PV-013,Honda XR 150L,11490000,2,2,NO,credito,SI,Perdido
HX-00041,2026-03-24,Meta Ads,EMP-02,PV-008,Bajaj Pulsar NS 160,11290000,16,3,SI,contado,NO,Perdido
HX-00042,2026-07-15,Meta Ads,EMP-02,PV-010,Hero Dash 110,6290000,2,7,NO_INFORMA,credito,SI,Perdido
HX-00043,2026-03-27,Meta Ads,EMP-03,PV-011,AKT Dynamic R3 125,5590000,24,1,NO,credito,SI,Perdido
HX-00044,2026-07-09,Meta Ads,EMP-03,PV-012,Honda CB 190R,13990000,72,4,NO,credito,NO,Perdido
HX-00045,2026-07-13,Meta Ads,EMP-01,PV-003,Bajaj Pulsar RS 200,15490000,4,6,NO,contado,NO,Perdido
HX-00046,2026-04-06,WhatsApp,EMP-02,PV-006,Suzuki Best 125,6590000,,0,SI,credito,SI,Sin gestión
HX-00047,2026-04-16,Meta Ads,EMP-01,PV-003,Suzuki V-Strom 250,21900000,1,3,SI,contado,NO,Cerrado
HX-00048,2026-07-24,Formulario Web,EMP-03,PV-014,Hero Xpulse 200,14990000,72,6,SI,no_informa,NO,Perdido
HX-00049,2026-06-14,Formulario Web,EMP-02,PV-008,Suzuki Gixxer 150,11990000,1,4,SI,contado,NO,Perdido
HX-00050,2026-03-21,Formulario Web,EMP-01,PV-002,Hero Xpulse 200,14990000,1,4,SI,credito,NO,Perdido
HX-00051,2026-04-20,Meta Ads,EMP-01,PV-001,Hero Xpulse 200,14990000,1,3,NO_INFORMA,credito,NO,Perdido
HX-00052,2026-03-13,WhatsApp,EMP-03,PV-015,Hero Eco Deluxe 100,4990000,72,6,SI,credito,NO,Perdido
HX-00053,2026-05-29,Meta Ads,EMP-01,PV-003,Hero Dash 110,6290000,16,6,SI,no_informa,NO,Perdido
HX-00054,2026-03-29,WhatsApp,EMP-03,PV-014,Honda Navi,7290000,4,2,NO_INFORMA,no_informa,SI,Perdido
HX-00055,2026-06-13,WhatsApp,EMP-01,PV-004,Bajaj Dominar 400,24900000,48,5,NO,contado,NO,Perdido
HX-00056,2026-06-23,Meta Ads,EMP-02,PV-007,Suzuki Gixxer 150,11990000,120,4,NO_INFORMA,contado,SI,Perdido
HX-00057,2026-05-09,Meta Ads,EMP-02,PV-008,Hero Eco Deluxe 100,4990000,24,6,NO_INFORMA,no_informa,NO,Perdido
HX-00058,2026-07-15,Meta Ads,EMP-02,PV-008,Honda CB 125F Twister,7990000,24,5,NO_INFORMA,credito,SI,Perdido
HX-00059,2026-07-22,WhatsApp,EMP-01,PV-003,Bajaj Dominar 400,24900000,24,1,SI,credito,NO,Cerrado
HX-00060,2026-04-17,Meta Ads,EMP-01,PV-005,Hero Dash 110,6290000,48,7,NO_INFORMA,credito,NO,Perdido
HX-00061,2026-06-24,Meta Ads,EMP-03,PV-013,Hero Xpulse 200,14990000,16,5,NO,no_informa,NO,Perdido
HX-00062,2026-03-30,Meta Ads,EMP-01,PV-002,Bajaj Pulsar NS 125,8990000,,0,SI,credito,NO,Sin gestión
HX-00063,2026-04-27,WhatsApp,EMP-03,PV-011,Bajaj Discover 125,6990000,,0,NO_INFORMA,credito,NO,Sin gestión
HX-00064,2026-05-15,Meta Ads,EMP-03,PV-011,Honda XRE 300,22900000,4,1,NO_INFORMA,credito,NO,Perdido
HX-00065,2026-06-03,Formulario Web,EMP-02,PV-010,Bajaj Pulsar NS 125,8990000,1,2,NO,credito,NO,Perdido
HX-00066,2026-07-15,WhatsApp,EMP-01,PV-003,Suzuki Best 125,6590000,2,7,NO,credito,SI,Perdido
HX-00067,2026-05-13,WhatsApp,EMP-03,PV-011,Bajaj Pulsar RS 200,15490000,48,5,SI,contado,NO,Perdido
HX-00068,2026-05-07,WhatsApp,EMP-01,PV-001,Suzuki Gixxer 150,11990000,4,3,SI,credito,NO,Perdido
HX-00069,2026-04-24,WhatsApp,EMP-03,PV-011,Bajaj Dominar 400,24900000,0.5,5,SI,no_informa,SI,Perdido
HX-00070,2026-04-24,Formulario Web,EMP-03,PV-011,AKT NKD 125,5290000,24,5,NO,credito,NO,Perdido
HX-00071,2026-04-20,Formulario Web,EMP-03,PV-014,Suzuki V-Strom 250,21900000,2,3,NO,credito,NO,Perdido
HX-00072,2026-05-24,Meta Ads,EMP-01,PV-003,AKT NKD 125,5290000,8,4,SI,no_informa,NO,Perdido
HX-00073,2026-03-18,Formulario Web,EMP-01,PV-001,Honda XR 150L,11490000,120,2,SI,credito,NO,Perdido
HX-00074,2026-05-01,WhatsApp,EMP-02,PV-008,Hero Dash 110,6290000,8,5,SI,credito,NO,Perdido
HX-00075,2026-06-22,Meta Ads,EMP-03,PV-015,Bajaj Discover 125,6990000,48,6,SI,credito,NO,Perdido
HX-00076,2026-04-24,WhatsApp,EMP-03,PV-011,AKT Dynamic R3 125,5590000,2,4,SI,credito,SI,Perdido
HX-00077,2026-06-11,Meta Ads,EMP-01,PV-001,Bajaj Pulsar NS 125,8990000,72,4,SI,credito,SI,Perdido
HX-00078,2026-03-03,WhatsApp,EMP-01,PV-004,Hero Xpulse 200,14990000,8,1,NO_INFORMA,credito,NO,Perdido
HX-00079,2026-04-07,Meta Ads,EMP-02,PV-010,Suzuki Gixxer 150,11990000,24,4,SI,credito,NO,Perdido
HX-00080,2026-04-01,WhatsApp,EMP-01,PV-003,Honda CB 190R,13990000,8,2,SI,no_informa,NO,Perdido
HX-00081,2026-03-20,WhatsApp,EMP-03,PV-012,Bajaj Discover 125,6990000,48,3,NO_INFORMA,credito,SI,Perdido
HX-00082,2026-03-27,Formulario Web,EMP-01,PV-003,Honda XR 150L,11490000,48,5,NO,no_informa,NO,Perdido
HX-00083,2026-03-27,Meta Ads,EMP-03,PV-012,Honda XRE 300,22900000,4,7,SI,credito,NO,Perdido
HX-00084,2026-07-17,WhatsApp,EMP-02,PV-010,Hero Dash 110,6290000,72,6,NO,contado,NO,Perdido
HX-00085,2026-05-07,WhatsApp,EMP-02,PV-008,Bajaj Dominar 400,24900000,1,6,NO,credito,NO,Perdido
HX-00086,2026-07-05,WhatsApp,EMP-02,PV-006,Hero Eco Deluxe 100,4990000,72,5,NO_INFORMA,credito,NO,Perdido
HX-00087,2026-05-02,Meta Ads,EMP-03,PV-014,Bajaj Pulsar NS 160,11290000,72,3,NO_INFORMA,credito,NO,Perdido
HX-00088,2026-04-02,Meta Ads,EMP-01,PV-005,Bajaj Pulsar NS 125,8990000,16,3,SI,no_informa,NO,Perdido
HX-00089,2026-04-17,WhatsApp,EMP-03,PV-012,Bajaj Pulsar NS 160,11290000,1,3,SI,credito,NO,Perdido
HX-00090,2026-06-30,WhatsApp,EMP-02,PV-010,Bajaj Dominar 400,24900000,2,1,NO,contado,SI,Perdido
HX-00091,2026-04-02,Meta Ads,EMP-01,PV-003,Suzuki GN 125,7490000,24,4,NO_INFORMA,credito,NO,Perdido
HX-00092,2026-06-29,WhatsApp,EMP-01,PV-001,Honda XR 150L,11490000,2,1,NO,credito,NO,Perdido
HX-00093,2026-05-15,Formulario Web,EMP-01,PV-002,Suzuki Gixxer 150,11990000,120,3,NO_INFORMA,contado,NO,Perdido
HX-00094,2026-04-27,Meta Ads,EMP-03,PV-013,Bajaj Dominar 400,24900000,,0,NO,contado,SI,Sin gestión
HX-00095,2026-03-11,WhatsApp,EMP-03,PV-014,Hero Hunk 160R,10490000,2,1,NO_INFORMA,credito,NO,Perdido
HX-00096,2026-05-14,Meta Ads,EMP-01,PV-002,AKT Dynamic R3 125,5590000,4,2,SI,contado,NO,Perdido
HX-00097,2026-05-20,WhatsApp,EMP-01,PV-004,Bajaj Pulsar NS 125,8990000,2,3,NO_INFORMA,contado,SI,Perdido
HX-00098,2026-04-15,WhatsApp,EMP-01,PV-004,Bajaj Pulsar NS 160,11290000,24,1,NO,no_informa,SI,Perdido
HX-00099,2026-05-17,Meta Ads,EMP-03,PV-011,Bajaj Pulsar NS 160,11290000,2,1,SI,credito,NO,Perdido
HX-00100,2026-05-18,WhatsApp,EMP-03,PV-015,Honda CB 125F Twister,7990000,4,3,NO,no_informa,NO,Perdido
HX-00101,2026-07-23,WhatsApp,EMP-01,PV-003,Hero Hunk 160R,10490000,24,5,NO,credito,NO,Perdido
HX-00102,2026-05-12,WhatsApp,EMP-01,PV-005,Bajaj Dominar 400,24900000,120,6,SI,credito,NO,Perdido
HX-00103,2026-05-05,WhatsApp,EMP-01,PV-003,Suzuki V-Strom 250,21900000,8,4,NO_INFORMA,credito,NO,Perdido
HX-00104,2026-05-01,Formulario Web,EMP-01,PV-002,Bajaj Pulsar NS 160,11290000,16,6,SI,credito,NO,Perdido
HX-00105,2026-06-26,WhatsApp,EMP-01,PV-004,Hero Eco Deluxe 100,4990000,,0,NO_INFORMA,credito,SI,Sin gestión
HX-00106,2026-03-07,Meta Ads,EMP-03,PV-014,Honda XR 150L,11490000,72,4,NO,credito,NO,Perdido
HX-00107,2026-07-03,WhatsApp,EMP-02,PV-006,Bajaj Pulsar NS 125,8990000,1,1,NO,credito,SI,Perdido
HX-00108,2026-03-09,Formulario Web,EMP-03,PV-012,Hero Hunk 160R,10490000,4,5,NO_INFORMA,contado,SI,Perdido
HX-00109,2026-04-29,WhatsApp,EMP-02,PV-010,Honda XRE 300,22900000,,0,NO,credito,NO,Sin gestión
HX-00110,2026-04-29,Meta Ads,EMP-03,PV-013,Bajaj Discover 125,6990000,1,1,SI,no_informa,NO,Perdido
HX-00111,2026-05-24,WhatsApp,EMP-02,PV-007,AKT Evo RS 150,7190000,48,4,NO,no_informa,SI,Cerrado
HX-00112,2026-06-15,WhatsApp,EMP-01,PV-002,Suzuki Best 125,6590000,24,3,SI,credito,NO,Perdido
HX-00113,2026-07-07,WhatsApp,EMP-02,PV-008,Honda XR 150L,11490000,120,5,NO_INFORMA,credito,SI,Perdido
HX-00114,2026-06-04,Meta Ads,EMP-02,PV-006,AKT NKD 125,5290000,4,3,NO_INFORMA,no_informa,NO,Perdido
HX-00115,2026-03-20,WhatsApp,EMP-02,PV-006,Suzuki Gixxer 150,11990000,72,5,NO_INFORMA,credito,SI,Perdido
HX-00116,2026-05-12,WhatsApp,EMP-01,PV-003,Honda XR 150L,11490000,4,7,NO_INFORMA,credito,NO,Perdido
HX-00117,2026-04-09,WhatsApp,EMP-01,PV-005,Hero Xpulse 200,14990000,1,6,NO,contado,NO,Perdido
HX-00118,2026-07-07,WhatsApp,EMP-01,PV-004,Honda XR 150L,11490000,4,2,NO_INFORMA,no_informa,NO,Perdido
HX-00119,2026-06-22,Meta Ads,EMP-01,PV-002,Bajaj Pulsar RS 200,15490000,24,5,NO_INFORMA,credito,SI,Perdido
HX-00120,2026-04-24,WhatsApp,EMP-02,PV-007,Bajaj Pulsar NS 125,8990000,8,7,SI,no_informa,NO,Perdido
HX-00121,2026-05-30,Meta Ads,EMP-01,PV-004,Honda CB 190R,13990000,48,1,NO_INFORMA,credito,NO,Perdido
HX-00122,2026-05-20,WhatsApp,EMP-03,PV-014,Honda XRE 300,22900000,1,2,NO_INFORMA,contado,SI,Cerrado
HX-00123,2026-05-04,WhatsApp,EMP-02,PV-009,AKT NKD 125,5290000,4,5,SI,credito,SI,Perdido
HX-00124,2026-06-11,WhatsApp,EMP-03,PV-013,Suzuki GN 125,7490000,48,1,SI,credito,NO,Perdido
HX-00125,2026-07-16,WhatsApp,EMP-02,PV-006,Bajaj Pulsar RS 200,15490000,8,5,NO_INFORMA,credito,NO,Perdido
HX-00126,2026-04-18,WhatsApp,EMP-03,PV-014,AKT NKD 125,5290000,2,2,NO,contado,NO,Perdido
HX-00127,2026-06-29,WhatsApp,EMP-03,PV-011,Suzuki Gixxer 150,11990000,0.5,2,NO_INFORMA,credito,NO,Perdido
HX-00128,2026-03-18,WhatsApp,EMP-01,PV-003,Hero Xpulse 200,14990000,4,1,SI,credito,NO,Perdido
HX-00129,2026-06-09,Meta Ads,EMP-01,PV-004,Bajaj Pulsar NS 125,8990000,72,4,NO,credito,NO,Perdido
HX-00130,2026-05-21,Meta Ads,EMP-01,PV-004,AKT NKD 125,5290000,16,5,NO,credito,NO,Perdido
HX-00131,2026-06-19,WhatsApp,EMP-02,PV-008,Honda Dio 110,6890000,8,2,NO_INFORMA,contado,SI,Perdido
HX-00132,2026-03-11,WhatsApp,EMP-01,PV-004,Bajaj Pulsar RS 200,15490000,24,7,NO,credito,NO,Perdido
HX-00133,2026-04-12,Meta Ads,EMP-03,PV-013,AKT Evo RS 150,7190000,4,3,NO_INFORMA,credito,SI,Perdido
HX-00134,2026-03-16,Meta Ads,EMP-03,PV-013,Bajaj Discover 125,6990000,48,4,NO,credito,NO,Perdido
HX-00135,2026-05-13,WhatsApp,EMP-01,PV-002,Honda XR 150L,11490000,2,2,NO,credito,SI,Perdido
HX-00136,2026-06-01,Meta Ads,EMP-01,PV-004,Bajaj Boxer CT 100,5790000,16,3,NO,credito,SI,Perdido
HX-00137,2026-04-01,WhatsApp,EMP-02,PV-006,Hero Xpulse 200,14990000,24,1,SI,credito,NO,Perdido
HX-00138,2026-04-11,Meta Ads,EMP-01,PV-003,Bajaj Pulsar NS 160,11290000,120,2,NO_INFORMA,credito,NO,Perdido
HX-00139,2026-07-20,WhatsApp,EMP-01,PV-002,AKT TTR 200,9890000,2,4,SI,credito,NO,Perdido
HX-00140,2026-05-05,Meta Ads,EMP-02,PV-006,Honda XR 150L,11490000,16,3,NO,no_informa,SI,Perdido
HX-00141,2026-05-08,WhatsApp,EMP-03,PV-014,AKT Dynamic R3 125,5590000,24,6,SI,credito,NO,Perdido
HX-00142,2026-06-17,WhatsApp,EMP-01,PV-004,Hero Hunk 160R,10490000,48,4,SI,contado,NO,Perdido
HX-00143,2026-03-21,Meta Ads,EMP-03,PV-013,Honda Dio 110,6890000,120,7,SI,contado,NO,Perdido
HX-00144,2026-03-09,Meta Ads,EMP-02,PV-006,Bajaj Pulsar NS 125,8990000,8,5,NO,credito,NO,Perdido
HX-00145,2026-03-30,WhatsApp,EMP-02,PV-009,Honda CB 125F Twister,7990000,16,1,NO_INFORMA,contado,NO,Perdido
HX-00146,2026-07-10,Formulario Web,EMP-01,PV-002,AKT Dynamic R3 125,5590000,72,6,NO_INFORMA,credito,NO,Perdido
HX-00147,2026-05-07,Meta Ads,EMP-02,PV-006,Suzuki Gixxer 150,11990000,2,7,SI,credito,NO,Perdido
HX-00148,2026-03-16,WhatsApp,EMP-03,PV-011,AKT TTR 200,9890000,72,7,NO,no_informa,NO,Perdido
HX-00149,2026-06-16,WhatsApp,EMP-02,PV-009,Hero Dash 110,6290000,,0,NO,credito,NO,Sin gestión
HX-00150,2026-04-24,Formulario Web,EMP-01,PV-004,Bajaj Pulsar NS 160,11290000,1,5,SI,no_informa,SI,Cerrado
HX-00151,2026-05-12,Meta Ads,EMP-02,PV-006,Hero Eco Deluxe 100,4990000,8,2,NO_INFORMA,credito,NO,Perdido
HX-00152,2026-03-26,Meta Ads,EMP-01,PV-004,Hero Xpulse 200,14990000,72,4,NO,contado,SI,Perdido
HX-00153,2026-05-20,Formulario Web,EMP-02,PV-008,Bajaj Dominar 400,24900000,72,7,NO_INFORMA,contado,NO,Perdido
HX-00154,2026-07-07,WhatsApp,EMP-01,PV-003,Bajaj Pulsar NS 125,8990000,8,3,SI,credito,NO,Perdido
HX-00155,2026-04-30,WhatsApp,EMP-02,PV-010,Suzuki Best 125,6590000,48,3,NO_INFORMA,credito,SI,Perdido
HX-00156,2026-07-20,Meta Ads,EMP-03,PV-015,Bajaj Pulsar RS 200,15490000,8,6,NO,credito,NO,Perdido
HX-00157,2026-03-12,Meta Ads,EMP-02,PV-010,Suzuki GN 125,7490000,4,1,NO,credito,NO,Perdido
HX-00158,2026-05-18,Formulario Web,EMP-01,PV-004,Bajaj Pulsar RS 200,15490000,4,2,NO_INFORMA,no_informa,NO,Perdido
HX-00159,2026-04-29,WhatsApp,EMP-01,PV-003,Bajaj Boxer CT 100,5790000,16,7,NO_INFORMA,no_informa,SI,Perdido
HX-00160,2026-03-24,Meta Ads,EMP-03,PV-015,AKT TTR 200,9890000,8,5,SI,credito,NO,Perdido
HX-00161,2026-06-11,Meta Ads,EMP-02,PV-006,Suzuki V-Strom 250,21900000,16,1,SI,credito,NO,Cerrado
HX-00162,2026-06-24,WhatsApp,EMP-01,PV-003,Honda CB 125F Twister,7990000,120,6,NO,credito,NO,Perdido
HX-00163,2026-06-14,WhatsApp,EMP-03,PV-015,Suzuki GN 125,7490000,,0,NO_INFORMA,credito,NO,Sin gestión
HX-00164,2026-07-06,WhatsApp,EMP-01,PV-003,AKT Dynamic R3 125,5590000,4,6,NO,no_informa,NO,Perdido
HX-00165,2026-05-29,WhatsApp,EMP-01,PV-005,Suzuki V-Strom 250,21900000,8,2,NO_INFORMA,credito,NO,Perdido
HX-00166,2026-05-28,WhatsApp,EMP-01,PV-004,Bajaj Pulsar NS 125,8990000,1,7,SI,no_informa,SI,Cerrado
HX-00167,2026-04-20,Formulario Web,EMP-03,PV-015,Suzuki Gixxer 150,11990000,120,5,SI,credito,NO,Perdido
HX-00168,2026-03-19,Meta Ads,EMP-01,PV-004,Suzuki V-Strom 250,21900000,120,6,SI,no_informa,SI,Perdido
HX-00169,2026-04-19,Meta Ads,EMP-01,PV-003,Suzuki Best 125,6590000,0.5,7,SI,credito,NO,Perdido
HX-00170,2026-06-10,Formulario Web,EMP-03,PV-014,Honda CB 125F Twister,7990000,,0,NO,credito,SI,Sin gestión
HX-00171,2026-06-27,Meta Ads,EMP-03,PV-011,Bajaj Pulsar NS 160,11290000,0.5,1,NO_INFORMA,credito,NO,Cerrado
HX-00172,2026-05-16,WhatsApp,EMP-03,PV-013,Bajaj Pulsar NS 125,8990000,8,1,SI,credito,NO,Perdido
HX-00173,2026-04-23,Meta Ads,EMP-03,PV-015,AKT Evo RS 150,7190000,2,4,NO,no_informa,SI,Perdido
HX-00174,2026-05-17,WhatsApp,EMP-03,PV-013,Bajaj Discover 125,6990000,24,7,SI,no_informa,NO,Perdido
HX-00175,2026-04-26,WhatsApp,EMP-01,PV-001,Suzuki V-Strom 250,21900000,4,5,NO,credito,NO,Cerrado
HX-00176,2026-07-06,WhatsApp,EMP-03,PV-012,Honda CB 190R,13990000,72,3,SI,credito,NO,Perdido
HX-00177,2026-04-03,Meta Ads,EMP-01,PV-002,AKT NKD 125,5290000,4,6,NO,credito,NO,Cerrado
HX-00178,2026-04-10,Meta Ads,EMP-01,PV-003,Suzuki GN 125,7490000,48,2,SI,contado,NO,Perdido
HX-00179,2026-04-01,Meta Ads,EMP-01,PV-005,Bajaj Pulsar NS 125,8990000,48,6,NO,credito,SI,Perdido
HX-00180,2026-04-05,WhatsApp,EMP-02,PV-006,Bajaj Pulsar RS 200,15490000,72,7,NO,credito,NO,Perdido
HX-00181,2026-05-15,WhatsApp,EMP-02,PV-008,Bajaj Discover 125,6990000,48,7,NO,credito,SI,Perdido
HX-00182,2026-04-27,Formulario Web,EMP-02,PV-010,Honda CB 125F Twister,7990000,1,5,NO,credito,NO,Perdido
HX-00183,2026-06-21,WhatsApp,EMP-03,PV-012,Honda Dio 110,6890000,1,7,SI,credito,NO,Perdido
HX-00184,2026-04-13,WhatsApp,EMP-02,PV-010,Hero Hunk 160R,10490000,,0,NO_INFORMA,credito,NO,Sin gestión
HX-00185,2026-05-08,WhatsApp,EMP-01,PV-004,Hero Xpulse 200,14990000,8,1,SI,credito,NO,Perdido
HX-00186,2026-06-27,WhatsApp,EMP-01,PV-004,Bajaj Discover 125,6990000,120,1,SI,credito,SI,Perdido
HX-00187,2026-05-15,WhatsApp,EMP-02,PV-007,AKT NKD 125,5290000,4,3,SI,no_informa,NO,Perdido
HX-00188,2026-04-11,Meta Ads,EMP-03,PV-012,Hero Eco Deluxe 100,4990000,2,5,NO,contado,NO,Perdido
HX-00189,2026-05-26,WhatsApp,EMP-02,PV-008,Bajaj Pulsar RS 200,15490000,24,1,SI,no_informa,SI,Perdido
HX-00190,2026-03-29,Formulario Web,EMP-03,PV-015,Hero Dash 110,6290000,24,2,SI,contado,SI,Perdido
HX-00191,2026-03-31,Meta Ads,EMP-02,PV-007,Suzuki Best 125,6590000,16,1,SI,credito,NO,Perdido
HX-00192,2026-03-06,WhatsApp,EMP-01,PV-003,Honda Dio 110,6890000,120,7,NO,credito,SI,Perdido
HX-00193,2026-07-12,WhatsApp,EMP-02,PV-010,Hero Eco Deluxe 100,4990000,120,1,NO_INFORMA,no_informa,NO,Perdido
HX-00194,2026-07-08,WhatsApp,EMP-01,PV-002,AKT NKD 125,5290000,2,5,SI,credito,NO,Perdido
HX-00195,2026-04-21,Meta Ads,EMP-02,PV-008,Honda Navi,7290000,16,3,NO_INFORMA,credito,SI,Perdido
HX-00196,2026-05-09,Meta Ads,EMP-03,PV-012,Honda CB 125F Twister,7990000,48,5,NO,contado,NO,Perdido
HX-00197,2026-03-27,WhatsApp,EMP-02,PV-007,Hero Eco Deluxe 100,4990000,4,1,NO_INFORMA,credito,NO,Perdido
HX-00198,2026-06-29,Meta Ads,EMP-01,PV-003,Bajaj Pulsar RS 200,15490000,48,5,NO,no_informa,NO,Perdido
HX-00199,2026-04-14,WhatsApp,EMP-01,PV-005,Bajaj Pulsar RS 200,15490000,72,4,NO,credito,SI,Perdido
HX-00200,2026-04-18,Formulario Web,EMP-02,PV-008,Bajaj Discover 125,6990000,8,1,NO,contado,SI,Perdido
HX-00201,2026-03-25,WhatsApp,EMP-02,PV-007,AKT NKD 125,5290000,2,5,SI,credito,SI,Perdido
HX-00202,2026-06-17,Meta Ads,EMP-02,PV-006,Honda Dio 110,6890000,16,3,NO_INFORMA,credito,SI,Cerrado
HX-00203,2026-06-18,Meta Ads,EMP-02,PV-008,Suzuki V-Strom 250,21900000,8,2,SI,credito,NO,Cerrado
HX-00204,2026-05-04,WhatsApp,EMP-02,PV-008,AKT TTR 200,9890000,0.5,6,SI,no_informa,NO,Perdido
HX-00205,2026-03-24,WhatsApp,EMP-02,PV-010,Hero Xpulse 200,14990000,0.5,4,NO,no_informa,NO,Perdido
